House #,2025 Market Value,Total Improvement Market Value,Total Land Market Value,Homestead Cap Loss,Total Main Area (Sq. Ft.),Main Area (Sq. Ft.),Main Area (Value) ,Garage (Sq. Ft.),Garage (Value),Land (Sq. Ft.),,,,,,,,,,,,,,,,,,,,,,,,,,,,
6309," $735,026 "," $677,026 "," $58,000 ",0,"3,905","3,192"," $558,004 ",713," $56,089 ","10,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
6310," $663,907 "," $603,222 "," $60,685 ",0,"3,898","3,226", $-   ,672, $-   ,"10,463",,,,,,,,,,,,,,,,,,,,,,,,,,,,
6311," $569,992 "," $511,992 "," $58,000 ",0,"3,611","3,036"," $447,924 ",575," $38,175 ","10,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
6312," $602,427 "," $538,677 "," $63,750 ",0,"3,786","2,877"," $432,168 ",909," $61,445 ","10,625",,,,,,,,,,,,,,,,,,,,,,,,,,,,
6313," $46,028 "," $415,135 "," $45,153 ",0,"2,747","2,241"," $376,845 ",506," $38,290 ","7,785",,,,,,,,,,,,,,,,,,,,,,,,,,,,
6314," $968,766 "," $888,796 "," $79,970 ",0,"2,591","2,041"," $367,600 ",550," $44,577 ","13,788",,,,,,,,,,,,,,,,,,,,,,,,,,,,
6315," $550,119 "," $505,175 "," $44,944 ",0,"3,132","2,582"," $433,934 ",550," $41,595 ","7,749",,,,,,,,,,,,,,,,,,,,,,,,,,,,
6316," $709,604 "," $642,133 "," $67,471 ",0,"3,472","3,147"," $570,725 ",325," $26,523 ","11,633",,,,,,,,,,,,,,,,,,,,,,,,,,,,
6317," $580,969 "," $536,025 "," $44,944 ",0,"3,460","2,910"," $474,970 ",550," $40,397 ","7,749",,,,,,,,,,,,,,,,,,,,,,,,,,,,
6318," $480,134 "," $432,539 "," $47,595 ",0,"3,392","2,842"," $374,951 ",550," $32,653 ","8,206",,,,,,,,,,,,,,,,,,,,,,,,,,,,
6319," $467,935 "," $422,991 "," $44,944 ",0,"2,902","2,382"," $385,155 ",520," $37,836 ","7,749",,,,,,,,,,,,,,,,,,,,,,,,,,,,
6320," $610,318 "," $553,356 "," $56,962 ",0,"3,477","2,925"," $482,340 ",552," $40,962 ","9,821",,,,,,,,,,,,,,,,,,,,,,,,,,,,
6321," $538,409 "," $494,642 "," $43,767 ",0,"3,365","2,773"," $451,287 ",592," $43,355 ","7,546",,,,,,,,,,,,,,,,,,,,,,,,,,,,
6322," $1,218,146 "," $1,116,617 "," $101,529 ",0,"3,580","3,097"," $624,126 ",483," $43,802 ","17,505",,,,,,,,,,,,,,,,,,,,,,,,,,,,
6323," $534,991 "," $488,260 "," $46,731 ",0,"3,358","2,806"," $448,552 ",552," $39,708 ","8,057",,,,,,,,,,,,,,,,,,,,,,,,,,,,
6324," $645,249 "," $572,105 "," $73,144 ",0,"4,011","3,219"," $515,077 ",792," $57,028 ","12,611",,,,,,,,,,,,,,,,,,,,,,,,,,,,
6325," $511,115 "," $466,171 "," $44,944 ",0,"3,164","2,636"," $427,626 ",528," $38,545 ","7,749",,,,,,,,,,,,,,,,,,,,,,,,,,,,
6326," $594,432 "," $549,221 "," $45,211 ",0,"3,490","2,962"," $483,458 ",528," $38,781 ","7,795",,,,,,,,,,,,,,,,,,,,,,,,,,,,
6327," $498,357 "," $453,413 "," $44,944 ",0,"3,033","2,527"," $415,934 ",506," $37,479 ","7,749",,,,,,,,,,,,,,,,,,,,,,,,,,,,
6328," $491,374 "," $446,221 "," $45,153 ",0,"2,994","2,444"," $405,188 ",550," $41,033 ","7,785",,,,,,,,,,,,,,,,,,,,,,,,,,,,
6329," $511,166 "," $467,161 "," $44,005 ",0,"3,158","2,652"," $430,222 ",506," $36,939 ","7,587",,,,,,,,,,,,,,,,,,,,,,,,,,,,
6330," $418,286 "," $373,092 "," $45,194 ",0,"2,758","2,252"," $338,833 ",506," $34,259 ","7,792",,,,,,,,,,,,,,,,,,,,,,,,,,,,
6331," $580,180 "," $535,439 "," $44,741 ",0,"3,408","2,902"," $468,781 ",506," $36,782 ","7,714",,,,,,,,,,,,,,,,,,,,,,,,,,,,
6332," $570,962 "," $526,673 "," $44,289 ",0,"3,862","2,743"," $444,984 ","1,119"," $81,689 ","7,636",,,,,,,,,,,,,,,,,,,,,,,,,,,,
6333," $537,870 "," $492,212 "," $45,658 ",0,"3,338","2,809"," $453,758 ",529," $38,454 ","7,872",,,,,,,,,,,,,,,,,,,,,,,,,,,,
6334," $469,010 "," $423,898 "," $45,112 ",0,"2,758","2,279"," $387,270 ",479," $36,628 ","7,778",,,,,,,,,,,,,,,,,,,,,,,,,,,,
6335," $610,407 "," $564,749 "," $45,658 ",0,"2,676","2,148"," $331,544 ",528," $36,674 ","7,872",,,,,,,,,,,,,,,,,,,,,,,,,,,,
6336," $525,573 "," $479,498 "," $46,075 ",0,"3,272","2,697"," $437,522 ",575," $41,976 ","7,944",,,,,,,,,,,,,,,,,,,,,,,,,,,,
6337," $521,957 "," $476,299 "," $45,658 ",0,"3,178","2,628"," $435,303 ",550," $40,996 ","7,872",,,,,,,,,,,,,,,,,,,,,,,,,,,,
6338," $530,604 "," $484,488 "," $46,116 ",0,"3,259","2,707"," $443,767 ",552," $40,721 ","7,951",,,,,,,,,,,,,,,,,,,,,,,,,,,,
6339," $555,046 "," $509,388 "," $45,658 ",0,"3,034","2,696"," $441,963 ",338," $24,934 ","7,872",,,,,,,,,,,,,,,,,,,,,,,,,,,,
6340," $469,131 "," $422,975 "," $46,156 ",0,"3,543","2,991"," $390,541 ",552," $32,434 ","7,958",,,,,,,,,,,,,,,,,,,,,,,,,,,,
6341," $538,374 "," $492,716 "," $45,658 ",0,"3,296","2,768"," $453,766 ",528," $38,950 ","7,872",,,,,,,,,,,,,,,,,,,,,,,,,,,,
6342," $532,125 "," $485,922 "," $46,203 ",0,"3,232","2,745"," $449,996 ",487," $35,926 ","7,966",,,,,,,,,,,,,,,,,,,,,,,,,,,,
6343," $556,802 "," $511,144 "," $45,658 ",0,"3,503","2,927"," $443,268 ",576," $39,254 ","7,872",,,,,,,,,,,,,,,,,,,,,,,,,,,,
6344," $504,815 "," $458,572 "," $46,243 ",0,"3,135","2,610"," $419,843 ",525," $38,729 ","7,973",,,,,,,,,,,,,,,,,,,,,,,,,,,,
6345," $531,620 "," $485,962 "," $45,658 ",0,"3,286","2,758"," $447,417 ",528," $38,545 ","7,872",,,,,,,,,,,,,,,,,,,,,,,,,,,,
6346," $573,558 "," $527,274 "," $46,284 ",0,"3,379","2,851"," $460,543 ",528," $38,381 ","7,980",,,,,,,,,,,,,,,,,,,,,,,,,,,,
6347," $434,345 "," $390,839 "," $43,506 ",0,"2,901","2,417"," $358,531 ",484," $32,308 ","7,501",,,,,,,,,,,,,,,,,,,,,,,,,,,,
6348," $531,703 "," $485,373 "," $46,330 ",0,"3,227","2,743"," $449,668 ",484," $35,705 ","7,988",,,,,,,,,,,,,,,,,,,,,,,,,,,,
6349," $514,098 "," $465,906 "," $48,192 ",0,"3,121","2,593"," $426,798 ",528," $39,108 ","8,309",,,,,,,,,,,,,,,,,,,,,,,,,,,,
6350," $498,815 "," $454,532 "," $44,283 ",0,"3,064","2,514"," $413,794 ",550," $40,738 ","7,635",,,,,,,,,,,,,,,,,,,,,,,,,,,,
